Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Georgia,Twiggs,1,1,2,2,2,2,2,2,2,2,2,2
Georgia,Union,0,0,0,0,0,0,0,0,0,0,1,1
Georgia,Upson,0,0,0,0,2,4,5,5,5,5,6,6
Georgia,Walker,0,0,0,0,0,0,0,0,0,2,2,3
Georgia,Walton,0,1,1,0,0,2,5,4,6,12,14,16
Georgia,Ware,0,0,0,1,2,2,5,5,9,10,14,16
Georgia,Warren,0,0,0,0,0,0,0,1,3,4,4,4
Georgia,Washington,1,1,2,2,2,2,2,2,2,4,4,6
Georgia,Wayne,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Webster,0,0,0,0,0,0,0,0,1,1,1,1
Georgia,Wheeler,0,0,0,0,0,0,1,1,1,1,1,1
Georgia,White,0,0,1,1,1,1,1,1,3,3,3,3
Georgia,Whitfield,2,2,4,5,6,6,8,7,10,10,15,15
Georgia,Wilcox,0,0,0,0,0,0,0,0,1,1,1,2
Georgia,Wilkes,0,0,1,1,1,1,1,1,2,2,2,3
Georgia,Wilkinson,0,0,0,0,0,0,0,0,1,2,1,1
Georgia,Worth,3,4,4,5,7,8,10,11,29,28,28,30
Georgia,Out of GA,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Unassigned,45,81,146,166,217,230,262,164,165,516,778,507
